Tick ,Customer ID,Miner,With
7,2,E1 Miner,2 with 3
12,1,E1 Miner,1 with 2
12,4,E1 Miner,4 with 1
20,4,E1 Miner,4 with 1
29,1,E2 Miner,1 with 2
29,2,E1 Miner,2 with 3
29,4,E2 Miner,4 with 1
45,1,E1 Miner,1 with 2
56,1,E1 Miner,1 with 2
62,2,E2 Miner,2 with 3
72,2,E2 Miner,2 with 3
72,4,E1 Miner,4 with 1
79,1,E1 Miner,1 with 2
87,1,E1 Miner,1 with 2
87,2,E2 Miner,2 with 3
89,4,E1 Miner,4 with 1
98,1,E2 Miner,1 with 2
106,1,E1 Miner,1 with 2
106,2,E2 Miner,2 with 3
118,4,E1 Miner,4 with 1
129,1,E2 Miner,1 with 2
129,4,E1 Miner,4 with 1
134,2,E2 Miner,2 with 3
134,4,E1 Miner,4 with 1
140,4,E1 Miner,4 with 1
145,1,E2 Miner,1 with 2
155,4,E1 Miner,4 with 1
162,4,E1 Miner,4 with 1
172,4,E2 Miner,4 with 1
178,2,E1 Miner,2 with 3
189,4,E1 Miner,4 with 1
199,1,E1 Miner,1 with 2
209,2,E1 Miner,2 with 3
220,1,E2 Miner,1 with 2
220,2,E1 Miner,2 with 3
225,4,E1 Miner,4 with 1
230,2,E1 Miner,2 with 3
237,1,E1 Miner,1 with 2
250,4,E2 Miner,4 with 1
254,1,E2 Miner,1 with 2
260,1,E1 Miner,1 with 2
268,1,E1 Miner,1 with 2
279,1,E2 Miner,1 with 2
287,1,E1 Miner,1 with 2
298,4,E2 Miner,4 with 1
311,4,E2 Miner,4 with 1
321,1,E2 Miner,1 with 2
326,1,E2 Miner,1 with 2
329,1,E1 Miner,1 with 2
335,1,E1 Miner,1 with 2
351,4,E2 Miner,4 with 1
360,4,E2 Miner,4 with 1
373,4,E1 Miner,4 with 1
382,4,E2 Miner,4 with 1
390,4,E1 Miner,4 with 1
400,4,E2 Miner,4 with 1
408,4,E1 Miner,4 with 1
416,4,E2 Miner,4 with 1
